11-20-2024 22:38:37 RAM 2569/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [7%@729,1%@729,0%@729,0%@729,100%@1497,0%@1497,0%@1497,0%@1497,10%@729,8%@729,6%@729,4%@729] GR3D_FREQ 48% cpu@39.281C soc2@35.625C soc0@35.593C gpu@33.937C tj@39.281C soc1@35.375C VDD_GPU_SOC 2791mW/2648mW VDD_CPU_CV 1196mW/769mW VIN_SYS_5V0 3410mW/3364mW
11-20-2024 22:38:38 RAM 2569/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [7%@729,0%@729,1%@729,0%@729,100%@1497,0%@1497,0%@1497,0%@1497,5%@729,7%@729,8%@729,12%@729] GR3D_FREQ 5% cpu@39.187C soc2@35.531C soc0@35.562C gpu@33.906C tj@39.187C soc1@35.531C VDD_GPU_SOC 2791mW/2658mW VDD_CPU_CV 1196mW/797mW VIN_SYS_5V0 3410mW/3367mW
11-20-2024 22:38:39 RAM 2540/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [13%@729,1%@729,2%@729,4%@729,68%@729,0%@729,0%@729,0%@729,3%@729,6%@729,8%@729,9%@729] GR3D_FREQ 0% cpu@38.875C soc2@35.562C soc0@35.687C gpu@33.875C tj@38.875C soc1@35.375C VDD_GPU_SOC 2791mW/2666mW VDD_CPU_CV 797mW/797mW VIN_SYS_5V0 3405mW/3369mW
11-20-2024 22:38:40 RAM 2540/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,1%@729,1%@729,1%@729,0%@729,1%@729,0%@729,0%@729,3%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@38.906C soc2@35.531C soc0@35.593C gpu@33.812C tj@38.906C soc1@35.375C VDD_GPU_SOC 2392mW/2650mW VDD_CPU_CV 398mW/774mW VIN_SYS_5V0 3205mW/3359mW
11-20-2024 22:38:41 RAM 2540/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [3%@729,0%@729,2%@729,4%@729,1%@729,0%@729,1%@729,2%@729,4%@729,0%@729,1%@729,0%@729] GR3D_FREQ 38% cpu@39.125C soc2@35.5C soc0@35.562C gpu@33.843C tj@39.125C soc1@35.437C VDD_GPU_SOC 2391mW/2636mW VDD_CPU_CV 398mW/753mW VIN_SYS_5V0 3205mW/3351mW
11-20-2024 22:38:42 RAM 2540/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,1%@729,4%@729,1%@729,1%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 3% cpu@38.937C soc2@35.5C soc0@35.656C gpu@34C tj@38.812C soc1@35.437C VDD_GPU_SOC 2391mW/2623mW VDD_CPU_CV 398mW/734mW VIN_SYS_5V0 3104mW/3338mW
11-20-2024 22:38:43 RAM 2540/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@729,1%@729,3%@729,1%@729,0%@729,1%@729,1%@729,1%@729,1%@729,2%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@38.812C soc2@35.562C soc0@35.687C gpu@33.937C tj@38.812C soc1@35.406C VDD_GPU_SOC 2392mW/2611mW VDD_CPU_CV 398mW/717mW VIN_SYS_5V0 3205mW/3331mW
11-20-2024 22:38:44 RAM 2572/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [11%@1497,11%@1497,8%@1497,10%@1497,10%@729,6%@729,6%@729,7%@729,6%@1497,6%@1497,46%@1497,6%@1497] GR3D_FREQ 30% cpu@38.968C soc2@35.625C soc0@35.718C gpu@33.906C tj@38.968C soc1@35.437C VDD_GPU_SOC 2791mW/2620mW VDD_CPU_CV 1196mW/740mW VIN_SYS_5V0 3505mW/3340mW
11-20-2024 22:38:45 RAM 2572/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [15%@729,0%@729,8%@729,14%@729,0%@729,0%@729,0%@729,0%@729,0%@1497,0%@1497,100%@1497,0%@1497] GR3D_FREQ 26% cpu@39.062C soc2@35.718C soc0@35.593C gpu@33.875C tj@39.062C soc1@35.531C VDD_GPU_SOC 3189mW/2646mW VDD_CPU_CV 1595mW/779mW VIN_SYS_5V0 3605mW/3352mW
11-20-2024 22:38:46 RAM 2572/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [9%@1497,2%@1497,8%@1497,10%@1497,0%@729,0%@729,0%@729,0%@729,0%@1497,0%@1497,100%@1497,7%@1497] GR3D_FREQ 18% cpu@39.281C soc2@35.687C soc0@35.75C gpu@33.937C tj@39.281C soc1@35.5C VDD_GPU_SOC 3189mW/2669mW VDD_CPU_CV 1595mW/814mW VIN_SYS_5V0 3611mW/3363mW
11-20-2024 22:38:47 RAM 2572/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [7%@1497,4%@1497,8%@1497,8%@1497,0%@729,0%@729,0%@729,0%@729,0%@1497,0%@1497,100%@1497,9%@1497] GR3D_FREQ 16% cpu@38.968C soc2@35.718C soc0@35.718C gpu@34.031C tj@38.968C soc1@35.5C VDD_GPU_SOC 3189mW/2691mW VDD_CPU_CV 1595mW/847mW VIN_SYS_5V0 3605mW/3373mW
11-20-2024 22:38:48 RAM 2572/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [9%@1497,3%@1497,7%@1497,10%@1497,0%@729,0%@729,0%@729,0%@729,2%@1497,0%@1497,100%@1497,5%@1497] GR3D_FREQ 23% cpu@39.062C soc2@35.718C soc0@35.75C gpu@34.156C tj@39.062C soc1@35.468C VDD_GPU_SOC 3189mW/2711mW VDD_CPU_CV 1595mW/877mW VIN_SYS_5V0 3611mW/3382mW
11-20-2024 22:38:49 RAM 2572/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [9%@729,12%@729,6%@729,1%@729,0%@729,0%@729,0%@729,0%@729,8%@1497,0%@1497,100%@1497,1%@1497] GR3D_FREQ 9% cpu@39.218C soc2@35.687C soc0@35.656C gpu@34.093C tj@39.218C soc1@35.437C VDD_GPU_SOC 3189mW/2729mW VDD_CPU_CV 1595mW/904mW VIN_SYS_5V0 3611mW/3391mW
11-20-2024 22:38:50 RAM 2567/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [13%@729,7%@729,6%@729,3%@729,0%@729,0%@729,1%@729,4%@729,6%@1497,0%@1497,100%@1497,5%@1497] GR3D_FREQ 47% cpu@39.031C soc2@35.5C soc0@35.625C gpu@34C tj@39.031C soc1@35.562C VDD_GPU_SOC 3188mW/2746mW VDD_CPU_CV 1595mW/930mW VIN_SYS_5V0 3611mW/3399mW
11-20-2024 22:38:51 RAM 2567/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [7%@1497,5%@1497,6%@1497,0%@1497,0%@729,0%@729,0%@729,7%@729,10%@1497,0%@1497,100%@1497,0%@1497] GR3D_FREQ 17% cpu@39.125C soc2@35.656C soc0@35.718C gpu@33.968C tj@39.125C soc1@35.468C VDD_GPU_SOC 3188mW/2762mW VDD_CPU_CV 1594mW/954mW VIN_SYS_5V0 3611mW/3407mW
11-20-2024 22:38:52 RAM 2565/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@1497,1%@1497,11%@1497,1%@1497,2%@729,1%@729,7%@729,6%@729,2%@1497,0%@1497,100%@1497,0%@1497] GR3D_FREQ 46% cpu@39.187C soc2@35.625C soc0@35.75C gpu@34.062C tj@39.187C soc1@35.468C VDD_GPU_SOC 3188mW/2777mW VDD_CPU_CV 1594mW/976mW VIN_SYS_5V0 3505mW/3410mW
11-20-2024 22:38:53 RAM 2565/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [7%@729,0%@729,5%@729,6%@729,4%@729,0%@729,6%@729,8%@729,3%@1497,1%@1497,100%@1497,0%@1497] GR3D_FREQ 47% cpu@39.125C soc2@35.718C soc0@35.75C gpu@34.218C tj@39.437C soc1@35.5C VDD_GPU_SOC 3188mW/2790mW VDD_CPU_CV 1594mW/996mW VIN_SYS_5V0 3511mW/3414mW
11-20-2024 22:38:54 RAM 2565/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@729,1%@729,2%@729,2%@1497,8%@729,8%@729,0%@729,8%@729,0%@1497,3%@1497,100%@1497,0%@1497] GR3D_FREQ 40% cpu@39.25C soc2@35.656C soc0@35.687C gpu@34.218C tj@39.187C soc1@35.562C VDD_GPU_SOC 3188mW/2803mW VDD_CPU_CV 1594mW/1016mW VIN_SYS_5V0 3511mW/3417mW
11-20-2024 22:38:55 RAM 2569/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [9%@1497,1%@1497,0%@1497,1%@1497,1%@729,8%@729,0%@729,8%@729,0%@1497,9%@1497,100%@1497,0%@1497] GR3D_FREQ 45% cpu@39.125C soc2@35.718C soc0@35.718C gpu@34.25C tj@39.125C soc1@35.437C VDD_GPU_SOC 3188mW/2815mW VDD_CPU_CV 1594mW/1034mW VIN_SYS_5V0 3511mW/3420mW
11-20-2024 22:38:56 RAM 2541/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@729,0%@729,1%@729,5%@729,4%@729,5%@729,3%@729,3%@729,3%@729,8%@729,25%@729,1%@729] GR3D_FREQ 0% cpu@39C soc2@35.625C soc0@35.812C gpu@34C tj@39C soc1@35.5C VDD_GPU_SOC 2789mW/2814mW VDD_CPU_CV 398mW/1014mW VIN_SYS_5V0 3305mW/3416mW
11-20-2024 22:38:57 RAM 2541/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@39C soc2@35.718C soc0@35.656C gpu@33.968C tj@39C soc1@35.531C VDD_GPU_SOC 2391mW/2802mW VDD_CPU_CV 398mW/996mW VIN_SYS_5V0 3104mW/3407mW
11-20-2024 22:38:58 RAM 2541/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,1%@729,1%@729,1%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@39.25C soc2@35.593C soc0@35.656C gpu@34C tj@39.25C soc1@35.562C VDD_GPU_SOC 2391mW/2790mW VDD_CPU_CV 398mW/979mW VIN_SYS_5V0 3104mW/3398mW
11-20-2024 22:38:59 RAM 2541/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,1%@729,1%@729,1%@729,1%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 36% cpu@38.937C soc2@35.656C soc0@35.75C gpu@33.968C tj@38.937C soc1@35.562C VDD_GPU_SOC 2391mW/2779mW VDD_CPU_CV 398mW/963mW VIN_SYS_5V0 3104mW/3390mW
11-20-2024 22:39:00 RAM 2541/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,2%@729,0%@729,2%@729,2%@729,0%@729,0%@729,3%@729,0%@729] GR3D_FREQ 0% cpu@38.968C soc2@35.562C soc0@35.781C gpu@33.875C tj@38.968C soc1@35.468C VDD_GPU_SOC 2391mW/2769mW VDD_CPU_CV 398mW/948mW VIN_SYS_5V0 3205mW/3385mW
11-20-2024 22:39:01 RAM 2566/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [14%@1497,57%@1497,9%@1497,10%@1497,7%@729,9%@729,7%@729,8%@729,6%@729,12%@729,7%@729,6%@729] GR3D_FREQ 48% cpu@39.187C soc2@35.687C soc0@35.781C gpu@34.062C tj@39.187C soc1@35.531C VDD_GPU_SOC 2789mW/2769mW VDD_CPU_CV 1196mW/954mW VIN_SYS_5V0 3410mW/3386mW
11-20-2024 22:39:02 RAM 2567/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [9%@1497,100%@1497,4%@1497,5%@1497,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,3%@729,6%@729] GR3D_FREQ 9% cpu@39.25C soc2@35.75C soc0@35.718C gpu@34.218C tj@39.25C soc1@35.531C VDD_GPU_SOC 2789mW/2770mW VDD_CPU_CV 1196mW/961mW VIN_SYS_5V0 3410mW/3387mW
11-20-2024 22:39:03 RAM 2567/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [6%@729,93%@729,2%@729,7%@729,6%@1497,1%@1497,0%@1497,1%@1497,2%@729,7%@729,0%@729,11%@729] GR3D_FREQ 42% cpu@39.562C soc2@35.656C soc0@35.656C gpu@33.968C tj@39.562C soc1@35.562C VDD_GPU_SOC 2789mW/2770mW VDD_CPU_CV 1196mW/966mW VIN_SYS_5V0 3410mW/3387mW
