11-20-2024 22:39:14 RAM 2566/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@1497,2%@1497,2%@1497,2%@1497,100%@1497,0%@1497,0%@1497,0%@1497,8%@729,11%@729,0%@729,10%@729] GR3D_FREQ 29% cpu@39.625C soc2@35.656C soc0@35.718C gpu@34.125C tj@39.625C soc1@35.687C VDD_GPU_SOC 2789mW/3035mW VDD_CPU_CV 1196mW/1196mW VIN_SYS_5V0 3410mW/3418mW
11-20-2024 22:39:15 RAM 2566/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [7%@729,0%@729,1%@729,0%@729,100%@1497,0%@1497,0%@1497,0%@1497,8%@729,10%@729,0%@729,11%@729] GR3D_FREQ 47% cpu@39.375C soc2@35.812C soc0@35.781C gpu@34.375C tj@39.375C soc1@35.531C VDD_GPU_SOC 2789mW/3017mW VDD_CPU_CV 1196mW/1196mW VIN_SYS_5V0 3410mW/3417mW
11-20-2024 22:39:16 RAM 2566/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@1497,0%@1497,1%@1497,1%@1497,100%@1497,0%@1497,0%@1497,0%@1497,4%@729,9%@729,5%@729,15%@729] GR3D_FREQ 40% cpu@39.5C soc2@35.75C soc0@35.843C gpu@34.375C tj@39.5C soc1@35.593C VDD_GPU_SOC 2789mW/3002mW VDD_CPU_CV 1196mW/1196mW VIN_SYS_5V0 3410mW/3417mW
11-20-2024 22:39:17 RAM 2566/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [7%@1497,0%@1497,1%@1497,0%@1497,100%@1497,0%@1497,0%@1497,0%@1497,0%@729,8%@729,10%@729,10%@729] GR3D_FREQ 3% cpu@39.468C soc2@35.812C soc0@35.687C gpu@34.406C tj@39.468C soc1@35.625C VDD_GPU_SOC 2789mW/2989mW VDD_CPU_CV 1196mW/1196mW VIN_SYS_5V0 3410mW/3416mW
11-20-2024 22:39:18 RAM 2566/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@729,1%@729,0%@729,1%@729,100%@1497,0%@1497,0%@1497,0%@1497,3%@729,9%@729,7%@729,9%@729] GR3D_FREQ 9% cpu@39.406C soc2@35.781C soc0@35.812C gpu@34.218C tj@39.406C soc1@35.593C VDD_GPU_SOC 3188mW/3000mW VDD_CPU_CV 1196mW/1196mW VIN_SYS_5V0 3410mW/3416mW
11-20-2024 22:39:19 RAM 2559/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [9%@1497,2%@1497,5%@1497,1%@1497,100%@1497,0%@1497,0%@1497,0%@1497,7%@729,10%@729,4%@729,9%@729] GR3D_FREQ 10% cpu@39.5C soc2@35.75C soc0@35.843C gpu@34.156C tj@39.5C soc1@35.593C VDD_GPU_SOC 3188mW/3011mW VDD_CPU_CV 1196mW/1196mW VIN_SYS_5V0 3410mW/3416mW
11-20-2024 22:39:20 RAM 2558/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [9%@729,3%@729,6%@729,9%@729,100%@1497,0%@1497,0%@1497,0%@1497,0%@729,2%@729,9%@729,1%@729] GR3D_FREQ 47% cpu@39.437C soc2@35.781C soc0@35.906C gpu@34.187C tj@39.593C soc1@35.625C VDD_GPU_SOC 2789mW/2999mW VDD_CPU_CV 1196mW/1196mW VIN_SYS_5V0 3410mW/3415mW
11-20-2024 22:39:21 RAM 2535/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [4%@729,2%@729,4%@729,4%@729,7%@729,2%@729,3%@729,1%@729,2%@729,0%@729,2%@729,0%@729] GR3D_FREQ 0% cpu@39.031C soc2@35.75C soc0@35.781C gpu@33.937C tj@38.937C soc1@35.593C VDD_GPU_SOC 2391mW/2969mW VDD_CPU_CV 398mW/1156mW VIN_SYS_5V0 3104mW/3400mW
11-20-2024 22:39:22 RAM 2535/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,2%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@39.156C soc2@35.718C soc0@35.812C gpu@34.031C tj@39.156C soc1@35.625C VDD_GPU_SOC 2391mW/2941mW VDD_CPU_CV 398mW/1120mW VIN_SYS_5V0 3004mW/3381mW
11-20-2024 22:39:23 RAM 2535/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@39C soc2@35.656C soc0@35.75C gpu@34C tj@39C soc1@35.531C VDD_GPU_SOC 2391mW/2916mW VDD_CPU_CV 398mW/1087mW VIN_SYS_5V0 3104mW/3368mW
11-20-2024 22:39:24 RAM 2535/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@729,1%@729,1%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@39C soc2@35.593C soc0@35.843C gpu@34.093C tj@39C soc1@35.5C VDD_GPU_SOC 2391mW/2893mW VDD_CPU_CV 398mW/1057mW VIN_SYS_5V0 3104mW/3357mW
11-20-2024 22:39:25 RAM 2535/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [5%@729,2%@729,1%@729,3%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@39.093C soc2@35.718C soc0@35.718C gpu@34.156C tj@39.093C soc1@35.562C VDD_GPU_SOC 2391mW/2872mW VDD_CPU_CV 398mW/1030mW VIN_SYS_5V0 3205mW/3351mW
11-20-2024 22:39:26 RAM 2537/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [4%@729,2%@729,2%@729,3%@729,0%@729,5%@729,0%@729,0%@729,5%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@38.906C soc2@35.656C soc0@35.812C gpu@34.062C tj@38.906C soc1@35.656C VDD_GPU_SOC 2391mW/2853mW VDD_CPU_CV 398mW/1004mW VIN_SYS_5V0 3104mW/3341mW
11-20-2024 22:39:27 RAM 2537/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [4%@729,5%@729,1%@729,2%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@38.968C soc2@35.625C soc0@35.812C gpu@34C tj@38.968C soc1@35.468C VDD_GPU_SOC 2391mW/2835mW VDD_CPU_CV 398mW/981mW VIN_SYS_5V0 3205mW/3335mW
11-20-2024 22:39:28 RAM 2537/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@1497,2%@1497,2%@1497,3%@1497,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 4% cpu@39.093C soc2@35.718C soc0@35.687C gpu@34.125C tj@39.093C soc1@35.5C VDD_GPU_SOC 2391mW/2819mW VDD_CPU_CV 398mW/960mW VIN_SYS_5V0 3205mW/3331mW
11-20-2024 22:39:29 RAM 2537/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [5%@729,3%@729,1%@729,3%@729,1%@729,0%@729,0%@729,0%@729,3%@729,0%@729,1%@729,1%@729] GR3D_FREQ 0% cpu@39.218C soc2@35.625C soc0@35.75C gpu@34.062C tj@39.218C soc1@35.656C VDD_GPU_SOC 2391mW/2804mW VDD_CPU_CV 398mW/940mW VIN_SYS_5V0 3104mW/3322mW
11-20-2024 22:39:30 RAM 2562/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@729,2%@729,1%@729,0%@729,0%@729,2%@729,0%@729,1%@729,2%@729,1%@729,0%@729,28%@729] GR3D_FREQ 0% cpu@39C soc2@35.656C soc0@35.718C gpu@34.218C tj@39C soc1@35.562C VDD_GPU_SOC 2391mW/2789mW VDD_CPU_CV 398mW/921mW VIN_SYS_5V0 3405mW/3325mW
11-20-2024 22:39:31 RAM 2565/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,1%@729,0%@729,1%@729,0%@729,1%@729,0%@729,0%@729,0%@729,1%@729,0%@729,6%@729] GR3D_FREQ 0% cpu@39.031C soc2@35.656C soc0@35.875C gpu@33.937C tj@39.031C soc1@35.562C VDD_GPU_SOC 2391mW/2776mW VDD_CPU_CV 398mW/903mW VIN_SYS_5V0 3104mW/3318mW
11-20-2024 22:39:32 RAM 2565/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [5%@729,3%@729,2%@729,4%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,2%@729,0%@729] GR3D_FREQ 0% cpu@39.093C soc2@35.718C soc0@35.718C gpu@33.968C tj@39.093C soc1@35.531C VDD_GPU_SOC 2391mW/2764mW VDD_CPU_CV 398mW/887mW VIN_SYS_5V0 3104mW/3311mW
11-20-2024 22:39:33 RAM 2565/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [3%@729,1%@729,2%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@38.875C soc2@35.687C soc0@35.718C gpu@34.156C tj@38.875C soc1@35.593C VDD_GPU_SOC 2391mW/2752mW VDD_CPU_CV 398mW/872mW VIN_SYS_5V0 3104mW/3305mW
