11-20-2024 22:38:58 RAM 2541/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,2%@729,0%@729,1%@729,1%@729,1%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@38.812C soc2@35.593C soc0@35.812C gpu@33.937C tj@38.812C soc1@35.437C VDD_GPU_SOC 2391mW/3046mW VDD_CPU_CV 398mW/1367mW VIN_SYS_5V0 3004mW/3481mW
11-20-2024 22:38:59 RAM 2541/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,1%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 17% cpu@38.906C soc2@35.718C soc0@35.75C gpu@33.968C tj@38.906C soc1@35.468C VDD_GPU_SOC 2391mW/3002mW VDD_CPU_CV 398mW/1302mW VIN_SYS_5V0 3104mW/3456mW
11-20-2024 22:39:00 RAM 2541/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,3%@729,1%@729,3%@729,2%@729,0%@729,0%@729,3%@729,0%@729] GR3D_FREQ 0% cpu@38.968C soc2@35.625C soc0@35.656C gpu@34.031C tj@38.968C soc1@35.437C VDD_GPU_SOC 2391mW/2964mW VDD_CPU_CV 398mW/1246mW VIN_SYS_5V0 3205mW/3440mW
11-20-2024 22:39:01 RAM 2566/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [10%@1497,41%@1497,8%@1497,9%@1497,7%@729,9%@729,7%@729,8%@729,6%@729,12%@729,7%@729,7%@729] GR3D_FREQ 46% cpu@39.437C soc2@35.687C soc0@35.75C gpu@34.031C tj@39.437C soc1@35.593C VDD_GPU_SOC 2789mW/2954mW VDD_CPU_CV 1196mW/1243mW VIN_SYS_5V0 3405mW/3438mW
11-20-2024 22:39:02 RAM 2567/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [11%@1497,100%@1497,5%@1497,6%@1497,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,3%@729,4%@729] GR3D_FREQ 37% cpu@39.125C soc2@35.687C soc0@35.781C gpu@34.093C tj@39.125C soc1@35.437C VDD_GPU_SOC 2789mW/2945mW VDD_CPU_CV 1196mW/1240mW VIN_SYS_5V0 3410mW/3437mW
11-20-2024 22:39:03 RAM 2567/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [7%@1497,100%@1497,1%@1497,7%@1497,0%@729,1%@729,0%@729,1%@729,0%@729,7%@729,0%@729,11%@729] GR3D_FREQ 45% cpu@39.187C soc2@35.718C soc0@35.875C gpu@34.156C tj@39.187C soc1@35.468C VDD_GPU_SOC 3188mW/2957mW VDD_CPU_CV 1196mW/1238mW VIN_SYS_5V0 3410mW/3435mW
11-20-2024 22:39:04 RAM 2567/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [10%@729,9%@729,7%@729,1%@729,89%@1497,0%@1497,0%@1497,0%@1497,8%@729,3%@729,11%@729,4%@729] GR3D_FREQ 54% cpu@39.5C soc2@35.718C soc0@35.625C gpu@33.968C tj@39.5C soc1@35.5C VDD_GPU_SOC 2789mW/2949mW VDD_CPU_CV 1196mW/1236mW VIN_SYS_5V0 3405mW/3434mW
11-20-2024 22:39:05 RAM 2567/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@1497,10%@1497,0%@1497,0%@1497,100%@1497,0%@1497,0%@1497,0%@1497,0%@729,11%@729,9%@729,1%@729] GR3D_FREQ 33% cpu@39.375C soc2@35.687C soc0@35.75C gpu@34C tj@39.375C soc1@35.593C VDD_GPU_SOC 3188mW/2960mW VDD_CPU_CV 1196mW/1234mW VIN_SYS_5V0 3410mW/3433mW
11-20-2024 22:39:06 RAM 2559/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@729,4%@729,5%@729,2%@729,100%@1497,0%@1497,1%@1497,2%@1497,1%@729,5%@729,13%@729,3%@729] GR3D_FREQ 20% cpu@39.562C soc2@35.625C soc0@35.75C gpu@34.031C tj@39.562C soc1@35.656C VDD_GPU_SOC 3188mW/2971mW VDD_CPU_CV 1196mW/1232mW VIN_SYS_5V0 3410mW/3432mW
11-20-2024 22:39:07 RAM 2559/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [6%@729,1%@729,5%@729,1%@729,100%@1497,1%@1497,0%@1497,6%@1497,2%@729,0%@729,6%@729,4%@729] GR3D_FREQ 48% cpu@39.437C soc2@35.687C soc0@35.781C gpu@34.218C tj@39.437C soc1@35.5C VDD_GPU_SOC 2789mW/2963mW VDD_CPU_CV 1196mW/1230mW VIN_SYS_5V0 3410mW/3431mW
