11-20-2024 22:29:53 RAM 2273/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [13%@1510,13%@1510,12%@1510,39%@1510,13%@729,17%@729] GR3D_FREQ 6% cpu@45.718C soc2@44.562C soc0@44.125C gpu@45.906C tj@45.906C soc1@43.625C VDD_IN 4888mW/4901mW VDD_CPU_GPU_CV 1152mW/1136mW VDD_SOC 1430mW/1457mW
11-20-2024 22:29:54 RAM 2273/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [2%@1510,1%@1510,1%@1510,84%@1510,0%@729,0%@729] GR3D_FREQ 6% cpu@45.593C soc2@44.625C soc0@43.875C gpu@45.75C tj@45.75C soc1@43.562C VDD_IN 4761mW/4892mW VDD_CPU_GPU_CV 1148mW/1137mW VDD_SOC 1468mW/1457mW
11-20-2024 22:29:55 RAM 2274/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [4%@1510,7%@1510,56%@1510,29%@1510,9%@729,8%@729] GR3D_FREQ 7% cpu@45.625C soc2@44.531C soc0@43.968C gpu@45.812C tj@45.812C soc1@43.687C VDD_IN 4840mW/4889mW VDD_CPU_GPU_CV 1228mW/1142mW VDD_SOC 1468mW/1458mW
11-20-2024 22:29:56 RAM 2274/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [10%@729,16%@729,14%@729,5%@729,0%@729,1%@729] GR3D_FREQ 8% cpu@45.593C soc2@44.468C soc0@44.031C gpu@45.875C tj@45.875C soc1@43.562C VDD_IN 4440mW/4862mW VDD_CPU_GPU_CV 798mW/1122mW VDD_SOC 1397mW/1454mW
11-20-2024 22:29:57 RAM 2274/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [23%@1510,18%@1510,15%@1510,2%@1510,0%@729,0%@729] GR3D_FREQ 7% cpu@45.781C soc2@44.562C soc0@43.968C gpu@45.718C tj@45.781C soc1@43.562C VDD_IN 4400mW/4837mW VDD_CPU_GPU_CV 760mW/1102mW VDD_SOC 1360mW/1449mW
11-20-2024 22:29:58 RAM 2274/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [35%@1510,30%@1510,28%@1510,23%@1510,20%@806,30%@806] GR3D_FREQ 88% cpu@45.968C soc2@44.593C soc0@43.937C gpu@46C tj@46C soc1@43.843C VDD_IN 5374mW/4865mW VDD_CPU_GPU_CV 1351mW/1115mW VDD_SOC 1472mW/1450mW
11-20-2024 22:29:59 RAM 2275/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [34%@806,36%@806,44%@806,24%@806,34%@960,32%@960] GR3D_FREQ 19% cpu@46.218C soc2@44.75C soc0@43.937C gpu@45.812C tj@46.218C soc1@43.718C VDD_IN 5524mW/4898mW VDD_CPU_GPU_CV 1468mW/1133mW VDD_SOC 1507mW/1453mW
11-20-2024 22:30:00 RAM 2276/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [27%@1510,41%@1510,44%@1510,28%@1510,39%@729,23%@729] GR3D_FREQ 55% cpu@45.843C soc2@44.718C soc0@44.031C gpu@46.093C tj@46.093C soc1@43.843C VDD_IN 5634mW/4933mW VDD_CPU_GPU_CV 1584mW/1154mW VDD_SOC 1587mW/1460mW
11-20-2024 22:30:01 RAM 2281/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [53%@1510,29%@1510,6%@1510,8%@1510,16%@729,7%@729] GR3D_FREQ 7% cpu@45.718C soc2@44.812C soc0@43.968C gpu@45.812C tj@45.812C soc1@43.718C VDD_IN 4920mW/4932mW VDD_CPU_GPU_CV 1228mW/1158mW VDD_SOC 1507mW/1462mW
11-20-2024 22:30:02 RAM 2281/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [34%@1510,27%@1510,27%@1510,29%@1510,19%@729,20%@729] GR3D_FREQ 11% cpu@45.625C soc2@44.812C soc0@44.062C gpu@46.031C tj@46.031C soc1@43.718C VDD_IN 4784mW/4926mW VDD_CPU_GPU_CV 1035mW/1152mW VDD_SOC 1433mW/1460mW
