Time(s)	FPS
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8570	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8570	0.35
2.8560	0.35
2.8560	0.35
2.8570	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8540	0.35
2.8570	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8570	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8540	0.35
2.8540	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
3.3290	0.30
2.9090	0.34
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8540	0.35
2.8540	0.35
2.8550	0.35
2.8570	0.35
2.8560	0.35
2.8560	0.35
2.8540	0.35
2.8550	0.35
2.8570	0.35
2.8540	0.35
2.8540	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8850	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8540	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8760	0.35
2.8540	0.35
2.8550	0.35
2.8570	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8570	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8580	0.35
2.8540	0.35
2.8560	0.35
2.8570	0.35
2.8540	0.35
2.8560	0.35
2.8560	0.35
2.8540	0.35
2.9480	0.34
3.2530	0.31
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8570	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8570	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8580	0.35
2.8560	0.35
2.8540	0.35
2.8560	0.35
2.8540	0.35
2.8570	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8540	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8540	0.35
2.8560	0.35
2.8570	0.35
2.8540	0.35
2.8540	0.35
2.8550	0.35
2.8570	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8540	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8570	0.35
3.3750	0.30
2.8550	0.35
2.8540	0.35
2.8560	0.35
2.8540	0.35
2.8550	0.35
2.8540	0.35
2.8540	0.35
2.8540	0.35
3.1870	0.31
2.8860	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8540	0.35
2.8560	0.35
2.8540	0.35
2.8570	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8580	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8540	0.35
2.8540	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8540	0.35
2.8550	0.35
2.8570	0.35
3.3950	0.29
3.2280	0.31
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.9450	0.34
2.8540	0.35
3.0290	0.33
2.8560	0.35
2.8550	0.35
2.8540	0.35
2.8560	0.35
2.8540	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8540	0.35
2.8570	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8570	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8540	0.35
2.8570	0.35
2.8570	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8540	0.35
2.8570	0.35
2.8540	0.35
2.8580	0.35
2.8600	0.35
2.8600	0.35
2.8570	0.35
2.8560	0.35
2.8570	0.35
2.8570	0.35
2.8560	0.35
3.1480	0.32
3.0410	0.33
2.8550	0.35
2.8550	0.35
2.8570	0.35
2.8550	0.35
2.8560	0.35
2.8540	0.35
2.8570	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8530	0.35
2.8570	0.35
2.8550	0.35
2.8560	0.35
2.8540	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8570	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8570	0.35
2.8570	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8570	0.35
2.8530	0.35
2.8560	0.35
2.8550	0.35
2.8570	0.35
2.8550	0.35
2.8960	0.35
3.3150	0.30
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8580	0.35
2.8570	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8570	0.35
2.8540	0.35
2.8560	0.35
2.8550	0.35
2.8540	0.35
2.8540	0.35
2.8550	0.35
2.8540	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8540	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8540	0.35
2.8550	0.35
2.8540	0.35
2.8570	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
