Time(s)	FPS
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4280	2.34
0.4430	2.26
0.4460	2.24
0.4460	2.24
0.4450	2.25
0.4560	2.19
0.4140	2.42
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4100	2.44
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4100	2.44
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
