Time(s)	FPS
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.7520	1.33
0.7340	1.36
0.7420	1.35
0.6910	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
