Inference,Time (s),FPS
1,0.003821134567260742,261.7023772384102
2,0.0035588741302490234,280.9877403363033
3,0.003522157669067383,283.9168753807622
4,0.003504514694213867,285.3462140281652
5,0.0035092830657958984,284.9584890277872
6,0.0035088062286376953,284.99721410613574
7,0.0034875869750976562,286.7312004375171
8,0.0034863948822021484,286.8292416056897
9,0.0034682750701904297,288.3277651749502
10,0.003479480743408203,287.3992051528025
11,0.003475666046142578,287.7146384963644
12,0.0034775733947753906,287.5568353215412
13,0.0034754276275634766,287.7343760718941
14,0.003477811813354492,287.5371220950161
15,0.0034780502319335938,287.51741157115435
16,0.003479480743408203,287.3992051528025
17,0.0034766197204589844,287.6357152653957
18,0.0034635066986083984,288.7247194878502
19,0.0034711360931396484,288.09011607940107
20,0.0034704208374023438,288.1494916185765
21,0.0034799575805664062,287.3598246094821
22,0.0035157203674316406,284.43672860436726
23,0.0025103092193603516,398.35729888878336
24,0.002171039581298828,460.60882934329015
25,0.002179861068725586,458.7448321119983
26,0.002167940139770508,461.26734850984275
27,0.002173900604248047,460.0026321561746
28,0.002165079116821289,461.87688580552805
29,0.0021750926971435547,459.7505206620629
30,0.0021669864654541016,461.4703487732424
31,0.0021719932556152344,460.406586169045
32,0.002168416976928711,461.1659153380979
33,0.002173900604248047,460.0026321561746
34,0.0021817684173583984,458.3437875642006
35,0.002168416976928711,461.1659153380979
36,0.0021724700927734375,460.30553116769096
37,0.002166271209716797,461.62271626678404
38,0.002171754837036133,460.45713031068175
39,0.0021669864654541016,461.4703487732424
40,0.0021691322326660156,461.01384919762586
41,0.0021677017211914062,461.3180818301804
42,0.002170085906982422,460.8112502746649
43,0.002179384231567383,458.8452029318455
44,0.0021686553955078125,461.1152154793316
45,0.002177000045776367,459.3477165699266
46,0.002167940139770508,461.26734850984275
47,0.002172708511352539,460.2550203006694
48,0.0021660327911376953,461.6735277930655
49,0.0021703243255615234,460.76062836427553
50,0.0021636486053466797,462.18225895316806
51,0.0021712779998779297,460.55825189414736
52,0.002166271209716797,461.62271626678404
53,0.002170562744140625,460.7100175746924
54,0.0021712779998779297,460.55825189414736
55,0.002166748046875,461.5211267605634
56,0.0021708011627197266,460.6594179022515
57,0.002165079116821289,461.87688580552805
58,0.0021696090698242188,460.9125274725275
59,0.002165079116821289,461.87688580552805
60,0.0021708011627197266,460.6594179022515
61,0.002165555953979492,461.7751844104371
62,0.0021724700927734375,460.30553116769096
63,0.002166748046875,461.5211267605634
64,0.0021681785583496094,461.216626347042
65,0.002176523208618164,459.44835140760216
66,0.0021648406982421875,461.9277533039648
67,0.002176523208618164,459.44835140760216
68,0.0021660327911376953,461.6735277930655
69,0.0021834373474121094,457.99344835116835
70,0.0021674633026123047,461.3688263117369
71,0.0021822452545166016,458.2436359663498
72,0.002165079116821289,461.87688580552805
73,0.0021820068359375,458.2937062937063
74,0.002253293991088867,443.79473071632634
75,0.0022630691528320312,441.8777918246945
76,0.002232074737548828,448.01367229224525
77,0.0021889209747314453,456.84609519660165
78,0.002190113067626953,456.5974308730677
79,0.0021698474884033203,460.86188330952643
80,0.0021851062774658203,457.64364429896347
81,0.002170085906982422,460.8112502746649
82,0.0021872520446777344,457.194680619141
83,0.002185821533203125,457.4938917975567
84,0.002168893814086914,461.06452676706607
85,0.002178192138671875,459.09632224168126
86,0.0021698474884033203,460.86188330952643
87,0.002183198928833008,458.04346401659933
88,0.0021691322326660156,461.01384919762586
89,0.0021750926971435547,459.7505206620629
90,0.002168416976928711,461.1659153380979
91,0.0021746158599853516,459.8513320907795
92,0.0021750926971435547,459.7505206620629
93,0.002166748046875,461.5211267605634
94,0.0021736621856689453,460.05308763847756
95,0.0021669864654541016,461.4703487732424
96,0.0021734237670898438,460.1035541904344
97,0.0021674633026123047,461.3688263117369
98,0.002173185348510742,460.1540318156884
99,0.002165555953979492,461.7751844104371
100,0.002173185348510742,460.1540318156884
101,0.002165555953979492,461.7751844104371
102,0.0021724700927734375,460.30553116769096
103,0.002171039581298828,460.60882934329015
104,0.002164602279663086,461.9786320079304
105,0.0021736621856689453,460.05308763847756
106,0.002165555953979492,461.7751844104371
107,0.0021719932556152344,460.406586169045
108,0.002168416976928711,461.1659153380979
109,0.0021724700927734375,460.30553116769096
110,0.0021677017211914062,461.3180818301804
111,0.002173185348510742,460.1540318156884
112,0.0021657943725585938,461.72435050638484
113,0.002174854278564453,459.80092085069066
114,0.0021784305572509766,459.0460763926891
115,0.002166748046875,461.5211267605634
116,0.002171754837036133,460.45713031068175
117,0.002166271209716797,461.62271626678404
118,0.002176523208618164,459.44835140760216
119,0.0021648406982421875,461.9277533039648
120,0.00217437744140625,459.9017543859649
121,0.002165555953979492,461.7751844104371
122,0.002173900604248047,460.0026321561746
123,0.0021724700927734375,460.30553116769096
124,0.002166271209716797,461.62271626678404
125,0.002173185348510742,460.1540318156884
126,0.0021648406982421875,461.9277533039648
127,0.002172231674194336,460.35605312259906
128,0.002166271209716797,461.62271626678404
129,0.0021746158599853516,459.8513320907795
130,0.002165555953979492,461.7751844104371
131,0.002172708511352539,460.2550203006694
132,0.0021669864654541016,461.4703487732424
133,0.0021736621856689453,460.05308763847756
134,0.00217437744140625,459.9017543859649
135,0.0021657943725585938,461.72435050638484
136,0.002171754837036133,460.45713031068175
137,0.0021657943725585938,461.72435050638484
138,0.0021719932556152344,460.406586169045
139,0.0021631717681884766,462.284139755318
140,0.0021712779998779297,460.55825189414736
141,0.002165079116821289,461.87688580552805
142,0.0021724700927734375,460.30553116769096
143,0.0021657943725585938,461.72435050638484
144,0.002173185348510742,460.1540318156884
145,0.0021712779998779297,460.55825189414736
146,0.0021638870239257812,462.1313353900397
147,0.002171754837036133,460.45713031068175
148,0.0021653175354003906,461.82602950891874
149,0.002171754837036133,460.45713031068175
150,0.0021653175354003906,461.82602950891874
151,0.0021767616271972656,459.3980284775466
152,0.0021681785583496094,461.216626347042
153,0.002178668975830078,458.99584154081856
154,0.0021779537200927734,459.1465790914067
