Inference,Time (s),FPS
1,0.002410411834716797,414.86686449060335
2,0.0017893314361572266,558.8679546968688
3,0.0017132759094238281,583.6771500139159
4,0.0017080307006835938,585.4695700725852
5,0.0016994476318359375,588.4264870931538
6,0.0017094612121582031,584.9796373779637
7,0.0016870498657226562,592.7507066139061
8,0.001703023910522461,587.1908161836764
9,0.0016865730285644531,592.9182923381396
10,0.0016739368438720703,597.3941034040735
11,0.0016894340515136719,591.9141970081852
12,0.0015673637390136719,638.0139945238819
13,0.0013413429260253906,745.5215072875933
14,0.0013344287872314453,749.3843130248347
15,0.0013277530670166016,753.1520919375113
16,0.0013344287872314453,749.3843130248347
17,0.0013287067413330078,752.611519827741
18,0.0013208389282226562,757.0945848375451
19,0.0013327598571777344,750.3227191413238
20,0.0013251304626464844,754.6426772220223
21,0.0013208389282226562,757.0945848375451
22,0.0013279914855957031,753.0168761220826
23,0.0013239383697509766,755.3221681973708
24,0.0013206005096435547,757.2312691821628
25,0.0013341903686523438,749.518227305218
26,0.0013251304626464844,754.6426772220223
27,0.0013208389282226562,757.0945848375451
28,0.0013294219970703125,752.206599713056
29,0.0013246536254882812,754.9143268538517
30,0.0013179779052734375,758.7380607814761
31,0.0013320446014404297,750.7256130302488
32,0.0013222694396972656,756.2755138838803
33,0.001321554183959961,756.684827710626
34,0.0013327598571777344,750.3227191413238
35,0.0013217926025390625,756.5483405483405
36,0.0013170242309570312,759.2874728457639
37,0.0013315677642822266,750.9944494180842
38,0.0013229846954345703,755.8666426383132
39,0.00131988525390625,757.6416184971098
40,0.0013301372528076172,751.802115074386
41,0.001322031021118164,756.4119026149684
42,0.0013172626495361328,759.1500452488688
43,0.0013287067413330078,752.611519827741
44,0.001321554183959961,756.684827710626
45,0.0013191699981689453,758.0524127959516
46,0.0013301372528076172,751.802115074386
47,0.0013196468353271484,757.7785004516712
48,0.0013170242309570312,759.2874728457639
49,0.001329183578491211,752.3415246636771
50,0.0013203620910644531,757.3680028891297
51,0.001317739486694336,758.8753392437127
52,0.0013239383697509766,755.3221681973708
53,0.0013165473937988281,759.5624773632742
54,0.0013341903686523438,749.518227305218
55,0.0013239383697509766,755.3221681973708
56,0.001316070556640625,759.8376811594203
57,0.001329660415649414,752.0717231486462
58,0.0013196468353271484,757.7785004516712
59,0.0013153553009033203,760.2508609751677
60,0.0013277530670166016,753.1520919375113
61,0.0013217926025390625,756.5483405483405
62,0.0013175010681152344,759.0126673905175
63,0.0013260841369628906,754.0999640417116
64,0.0013163089752197266,759.7000543379822
65,0.0013179779052734375,758.7380607814761
66,0.0013289451599121094,752.4764980265519
67,0.0013194084167480469,757.9154318756777
68,0.0013165473937988281,759.5624773632742
69,0.0013256072998046875,754.3712230215828
70,0.0013172626495361328,759.1500452488688
71,0.0013158321380615234,759.9753578546838
72,0.001332998275756836,750.1885172598819
73,0.001323699951171875,755.4582132564841
74,0.0013191699981689453,758.0524127959516
75,0.0013275146484375,753.2873563218391
76,0.0013217926025390625,756.5483405483405
77,0.0013163089752197266,759.7000543379822
78,0.0013308525085449219,751.3980652096022
79,0.0013186931610107422,758.3265232326885
80,0.0013165473937988281,759.5624773632742
81,0.0013284683227539062,752.7465900933238
82,0.0013175010681152344,759.0126673905175
83,0.0013155937194824219,760.113084450888
84,0.0013308525085449219,751.3980652096022
85,0.00131988525390625,757.6416184971098
86,0.0013167858123779297,759.4249502082201
87,0.001361846923828125,734.296918767507
88,0.0013301372528076172,751.802115074386
89,0.0013229846954345703,755.8666426383132
90,0.0013298988342285156,751.9368949444246
91,0.0013210773468017578,756.9579498285508
92,0.001313924789428711,761.0785701324623
93,0.0013833045959472656,722.9065839365736
94,0.001338958740234375,746.8490028490029
95,0.0013251304626464844,754.6426772220223
96,0.0014193058013916016,704.5697967411389
97,0.0013589859008789062,735.8428070175438
98,0.0013513565063476562,739.9971771347919
99,0.0013337135314941406,749.7861994994637
100,0.0013267993927001953,753.6934411500449
101,0.0013544559478759766,738.303819750044
102,0.0013387203216552734,746.9820124666073
103,0.0013248920440673828,754.778477595825
104,0.0013339519500732422,749.6521894548704
105,0.0013234615325927734,755.5943073320122
106,0.0013241767883300781,755.186172128196
107,0.0013320446014404297,750.7256130302488
108,0.0013251304626464844,754.6426772220223
109,0.00131988525390625,757.6416184971098
110,0.0013322830200195312,750.5912670007158
111,0.001322031021118164,756.4119026149684
112,0.00131988525390625,757.6416184971098
113,0.001329660415649414,752.0717231486462
114,0.0013210773468017578,756.9579498285508
115,0.0013179779052734375,758.7380607814761
116,0.0013279914855957031,753.0168761220826
117,0.0013210773468017578,756.9579498285508
118,0.0013186931610107422,758.3265232326885
119,0.0013284683227539062,752.7465900933238
120,0.0013203620910644531,757.3680028891297
121,0.0013184547424316406,758.4636528028933
122,0.0013294219970703125,752.206599713056
123,0.0013206005096435547,757.2312691821628
124,0.0013201236724853516,757.5047859851906
125,0.0013287067413330078,752.611519827741
126,0.0013208389282226562,757.0945848375451
127,0.0013163089752197266,759.7000543379822
128,0.0013327598571777344,750.3227191413238
129,0.0013227462768554688,756.0028839221341
130,0.0013194084167480469,757.9154318756777
131,0.0013294219970703125,752.206599713056
132,0.0013208389282226562,757.0945848375451
133,0.00131988525390625,757.6416184971098
134,0.001329183578491211,752.3415246636771
135,0.0013210773468017578,756.9579498285508
136,0.00131988525390625,757.6416184971098
137,0.0013616085052490234,734.4254946594292
138,0.0014443397521972656,692.3578738857709
139,0.0014071464538574219,710.6580820060997
140,0.001361846923828125,734.296918767507
141,0.0013477802276611328,741.9607288165575
142,0.0013551712036132812,737.9141449683322
143,0.0013415813446044922,745.3890172383153
144,0.0013339519500732422,749.6521894548704
145,0.0013425350189208984,744.8595276149885
146,0.0013263225555419922,753.9644076936904
147,0.0013206005096435547,757.2312691821628
148,0.0013287067413330078,752.611519827741
149,0.0013210773468017578,756.9579498285508
150,0.0013186931610107422,758.3265232326885
151,0.0013282299041748047,752.8817088493987
152,0.0013191699981689453,758.0524127959516
153,0.001317739486694336,758.8753392437127
154,0.0013294219970703125,752.206599713056
155,0.0013244152069091797,755.0502250225022
156,0.0013179779052734375,758.7380607814761
157,0.0013287067413330078,752.611519827741
158,0.0013227462768554688,756.0028839221341
159,0.0013184547424316406,758.4636528028933
160,0.0013277530670166016,753.1520919375113
161,0.0013203620910644531,757.3680028891297
162,0.0011584758758544922,863.2031282156822
163,0.0010628700256347656,940.8488111260655
164,0.0010538101196289062,948.937556561086
165,0.0010497570037841797,952.6014081308199
166,0.0010497570037841797,952.6014081308199
167,0.0010590553283691406,944.2377307519135
168,0.0010538101196289062,948.937556561086
169,0.001047372817993164,954.7698611427271
170,0.001058340072631836,944.8758729443568
171,0.0010514259338378906,951.0893424036282
