Inference,Time (s),FPS
614,0.014537572860717773,68.78727347273473
615,0.014484167098999023,69.04090467646623
616,0.01456141471862793,68.67464592713877
617,0.014500617980957031,68.96257809930944
618,0.01457834243774414,68.59490400026166
619,0.015016317367553711,66.59422383817855
620,0.015067338943481445,66.36872003417884
621,0.014517784118652344,68.88103527556986
622,0.014539718627929688,68.77712186803096
623,0.014503955841064453,68.94670743334319
624,0.014511823654174805,68.90932689306192
625,0.014509201049804688,68.92178256868674
626,0.014828681945800781,67.43687696958004
627,0.014676094055175781,68.13802066411073
628,0.014454126358032227,69.18439587628866
629,0.014510393142700195,68.91612033979067
630,0.014468669891357422,69.11485350822265
631,0.014492511749267578,69.00115158095615
632,0.014554023742675781,68.70952100124501
633,0.01459956169128418,68.49520698946681
634,0.014573097229003906,68.619592958576
635,0.014469146728515625,69.11257579752176
636,0.014499664306640625,68.96711391739017
637,0.014492034912109375,69.00342195314556
638,0.014487743377685547,69.02386202810783
639,0.014545202255249023,68.75119248610815
640,0.014780998229980469,67.65442931802052
641,0.014564275741577148,68.66115540131288
642,0.014485359191894531,69.0352228586477
643,0.014473915100097656,69.08980694471899
644,0.014562129974365234,68.6712727987164
645,0.014528989791870117,68.8279098770902
646,0.014467716217041016,69.1194093800468
647,0.014510869979858398,68.91385570872286
648,0.014556646347045898,68.69714192121857
649,0.014537572860717773,68.78727347273473
650,0.014467477798461914,69.12054844185165
651,0.014542579650878906,68.76359105515115
652,0.014594793319702148,68.517585559095
653,0.014496564865112305,68.98185944772462
654,0.014737367630004883,67.85472311649653
655,0.014561176300048828,68.6757703769198
656,0.014764547348022461,67.72981090638979
657,0.01450037956237793,68.96371199789539
658,0.014512062072753906,68.90819478215154
659,0.01451253890991211,68.90593067192377
660,0.01449728012084961,68.97845607341381
661,0.014463186264038086,69.14105797603152
662,0.014483928680419922,69.04204115226338
663,0.014500856399536133,68.9614442380099
664,0.014499187469482422,68.96938205018581
665,0.014448404312133789,69.21179518489794
666,0.014517545700073242,68.88216649422739
667,0.014508724212646484,68.92404772077431
668,0.01473546028137207,67.86350618881967
669,0.014559745788574219,68.68251784895526
670,0.014604806900024414,68.47060744078227
671,0.014739036560058594,67.84703979294727
672,0.014492034912109375,69.00342195314556
673,0.01452183723449707,68.86181024150783
674,0.014780759811401367,67.65552060650053
675,0.014499664306640625,68.96711391739017
676,0.01447153091430664,69.10118949553527
677,0.014494180679321289,68.99320645469051
678,0.014497041702270508,68.97959049420278
679,0.014522552490234375,68.85841870239034
680,0.014484167098999023,69.04090467646623
681,0.014515876770019531,68.89008606530452
682,0.014768123626708984,67.71340931839462
683,0.01472926139831543,67.89206688356884
684,0.014484167098999023,69.04090467646623
685,0.014475822448730469,69.08070360366295
686,0.014577627182006836,68.59826963021115
687,0.014526605606079102,68.83920628928753
688,0.014451265335083008,69.1980928183723
689,0.014503955841064453,68.94670743334319
690,0.014481544494628906,69.05340796838986
691,0.014519929885864258,68.87085597937636
692,0.014488458633422852,69.0204545080551
693,0.014494895935058594,68.9898019606553
694,0.014532327651977539,68.81210112709793
695,0.014463663101196289,69.13877853787191
696,0.014778852462768555,67.6642521819091
697,0.014678955078125,68.12474012474013
698,0.014523029327392578,68.85615786190367
699,0.014469385147094727,69.1114369984676
700,0.01450967788696289,68.9195175654803
701,0.01447439193725586,69.08753088453302
702,0.014496803283691406,68.98072495230576
703,0.014496326446533203,68.98299398046117
704,0.014484405517578125,69.0397682380827
705,0.014519929885864258,68.87085597937636
706,0.01445913314819336,69.16043927052073
707,0.014515876770019531,68.89008606530452
708,0.014551639556884766,68.72077858242946
709,0.014480829238891602,69.05681874310552
710,0.014696598052978516,68.04295772363
711,0.014580249786376953,68.58593060143245
712,0.01476144790649414,67.74403204444876
713,0.014513015747070312,68.90366671047444
714,0.014474153518676758,69.08866889588035
715,0.014526605606079102,68.83920628928753
716,0.01460409164428711,68.47396088418715
717,0.01450800895690918,68.92744572808992
718,0.014498710632324219,68.97165033217128
719,0.014502763748168945,68.95237468970393
720,0.014510631561279297,68.91498800565213
721,0.014536619186401367,68.79178625904119
722,0.014524459838867188,68.84937623112279
723,0.014561176300048828,68.6757703769198
724,0.01492762565612793,66.98988995543914
725,0.014689207077026367,68.07719400756359
726,0.014497041702270508,68.97959049420278
727,0.014521598815917969,68.86294082879097
728,0.01443171501159668,69.29183393633015
729,0.014467716217041016,69.1194093800468
730,0.014488458633422852,69.0204545080551
731,0.014622688293457031,68.38687797560817
732,0.014487504959106445,69.02499794289476
733,0.014514684677124023,68.89574401682025
734,0.014492511749267578,69.00115158095615
735,0.014495849609375,68.98526315789474
736,0.014486312866210938,69.03067807768268
737,0.014475584030151367,69.08184139010129
738,0.014779806137084961,67.6598861125002
739,0.014590978622436523,68.53549894606121
740,0.014461755752563477,69.14789719240979
741,0.014641046524047852,68.30112849907994
742,0.014479398727416992,69.06364130345293
743,0.014551877975463867,68.7196526583108
744,0.01446533203125,69.13080168776371
745,0.014499187469482422,68.96938205018581
746,0.0144805908203125,69.05795574288724
747,0.014486312866210938,69.03067807768268
748,0.014834165573120117,67.41194811874186
749,0.015534639358520508,64.37227005540464
750,0.015549421310424805,64.31107499348349
